Births by year and month per place of event city,,,
,,,
BOOK_YEAR,MTH,CITY,COUNT(*)
1917,Aug,BARRIE,13
1917,Aug,BARTON TWP,6
1917,Aug,BATHURST TWP,6
1917,Aug,BELLEVILLE,22
1917,Aug,BRACEBRIDGE,7
1917,Aug,BRAMPTON,9
1917,Aug,BRANT TWP,6
1917,Aug,BRANTFORD,51
1917,Aug,BRANTFORD TWP,9
1917,Aug,BROCKVILLE,29
1917,Aug,BURLINGTON,6
1917,Aug,CALEDONIA TWP,7
1917,Aug,CAMPBELLFORD,7
1917,Aug,CARDINAL,6
1917,Aug,CARLETON PLACE,8
1917,Aug,CARRICK TWP,7
1917,Aug,CASSELMAN,7
1917,Aug,CHARLTON,6
1917,Aug,CHATHAM,26
1917,Aug,CHATHAM TWP,13
1917,Aug,CLARENCE TWP,10
1917,Aug,CLINTON TWP,6
1917,Aug,COBALT,20
1917,Aug,COCHRANE,11
1917,Aug,COLLINGWOOD,17
1917,Aug,CONISTON,11
1917,Aug,COPPERCLIFF,15
1917,Aug,CORNWALL,23
1917,Aug,CORNWALL TWP,11
1917,Aug,CREIGHTON MINE,8
1917,Aug,CROWLAND,10
1917,Aug,CUMBERLAND TWP,12
1917,Aug,DAWN TWP,6
1917,Aug,DOVER TWP,12
1917,Aug,EASTVIEW,12
1917,Aug,ELMA TWP,10
1917,Aug,EMBRUN,7
1917,Aug,ESPANOLA,7
1917,Aug,FINCH TWP,6
1917,Aug,FITZROY TWP,6
1917,Aug,FLAMBOROUGH E,6
1917,Aug,FORD CITY,13
1917,Aug,FORT FRANCES,9
1917,Aug,FORT WILLIAM,56
1917,Aug,GALT,22
1917,Aug,GRANTHAM TWP,10
1917,Aug,GUELPH,30
1917,Aug,HAILEYBURY,14
1917,Aug,HAMILTON,251
1917,Aug,HAVELOCK TWP,6
1917,Aug,HAWKESBURY,15
1917,Aug,INGERSOLL,10
1917,Aug,KENORA,18
1917,Aug,KEPPEL TWP,7
1917,Aug,KINCARDINE TWP,11
1917,Aug,KING TWP,9
1917,Aug,KINGSTON,55
1917,Aug,KITCHENER,44
1917,Aug,LINDSAY,12
1917,Aug,LOCHIEL TWP,7
1917,Aug,LONDON,88
1917,Aug,LONDON TWP,11
1917,Aug,MARKHAM TWP,9
1917,Aug,MATILDA TWP,6
1917,Aug,MCGILLIVRAY T,7
1917,Aug,MIDLAND,20
1917,Aug,MIMICO,9
1917,Aug,MINTO TWP,6
1917,Aug,MOUNT DENNIS,9
1917,Aug,N DUMFRIES TWP,6
1917,Aug,N NORWICH TWP,7
1917,Aug,NEWMARKET,8
1917,Aug,NIAGARA FALLS,21
1917,Aug,NORTH BAY,25
1917,Aug,NOT RECORDED,8
1917,Aug,ORILLIA,13
1917,Aug,OSHAWA,25
1917,Aug,OTTAWA,231
1917,Aug,OWEN SOUND,37
1917,Aug,PARRY SOUND,21
1917,Aug,PEMBROKE,22
1917,Aug,PENETANGUISHENE,10
1917,Aug,PETERBOROUGH,24
1917,Aug,PICTON,6
1917,Aug,PLANTAGENET,6
1917,Aug,PORT ARTHUR,39
1917,Aug,PORT HOPE,8
1917,Aug,PRESTON,10
1917,Aug,RAYSIDE TWP,7
1917,Aug,RENFREW,17
1917,Aug,ROCKLAND,13
1917,Aug,RUSSELL,6
1917,Aug,S CROSBY TWP,6
1917,Aug,S PLANTAGENET T,11
1917,Aug,SANDWICH,6
1917,Aug,SANDWICH W T,6
1917,Aug,SARNIA,23
1917,Aug,SARNIA TWP,6
1917,Aug,SAULT STE MARIE,51
1917,Aug,SCARBOROUGH,7
1917,Aug,SMITHS FALLS,20
1917,Aug,ST CATHARINES,54
1917,Aug,ST THOMAS,32
1917,Aug,STANLEY TWP,6
1917,Aug,STEELTON,18
1917,Aug,STRATFORD,31
1917,Aug,STURGEON FALLS,18
1917,Aug,SUDBURY,30
1917,Aug,TECUMSETH TWP,7
1917,Aug,THESSALON,8
1917,Aug,THOROLD,9
1917,Aug,TILBURY N T,6
1917,Aug,TILLSONBURG,7
1917,Aug,TIMMINS,17
1917,Aug,TORONTO,1051
1917,Aug,TRENTON,18
1917,Aug,VERNER,7
1917,Aug,VERULAM TWP,6
1917,Aug,WALKERVILLE,9
1917,Aug,WALLACEBURG,7
1917,Aug,WARWICK TWP,6
1917,Aug,WATERLOO TWP,11
1917,Aug,WEBBWOOD,7
1917,Aug,WELLAND,29
1917,Aug,WESTON,10
1917,Aug,WHITCHURCH TWP,6
1917,Aug,WIARTON,7
1917,Aug,WILLIAMSBURG TW,8
1917,Aug,WILMOT,7
1917,Aug,WINCHESTER TWP,6
1917,Aug,WINDSOR,74
1917,Aug,WINGHAM,6
1917,Aug,WOODSTOCK,13
1917,Aug,YORK TWP,64
1917,Dec,ACTON,7
1917,Dec,ALEXANDRIA,7
1917,Dec,ALFRED,7
1917,Dec,ARNPRIOR,8
1917,Dec,BARRIE,13
1917,Dec,BARTON TWP,13
1917,Dec,BELLEVILLE,25
1917,Dec,BOWMANVILLE,11
1917,Dec,BRACEBRIDGE,10
1917,Dec,BRAMPTON,6
1917,Dec,BRANTFORD,51
1917,Dec,BRANTFORD TWP,9
1917,Dec,BROCKVILLE,15
1917,Dec,BURFORD,7
1917,Dec,CAMDEN TWP,8
1917,Dec,CAMPBELLFORD,12
1917,Dec,CARLETON PLACE,10
1917,Dec,CASSELMAN,10
1917,Dec,CHATHAM,25
1917,Dec,CHATHAM TWP,10
1917,Dec,CLARENCE TWP,8
1917,Dec,COBALT,25
1917,Dec,COCHRANE,6
1917,Dec,COLLINGWOOD,12
1917,Dec,COPPER CLIFF,9
1917,Dec,COPPERCLIFF TWP,7
1917,Dec,CORNWALL,11
1917,Dec,CRAMAHE TWP,6
1917,Dec,CROWLAND,10
1917,Dec,CUMBERLAND TWP,9
1917,Dec,DAWN TWP,6
1917,Dec,DEREHAM TWP,6
1917,Dec,DRESDEN,6
1917,Dec,DUNNVILLE,9
1917,Dec,DUNWICH TWP,6
1917,Dec,EASTVIEW,10
1917,Dec,ELMIRA,7
1917,Dec,EMBRUN,10
1917,Dec,ESPANOLA,7
1917,Dec,FORD CITY,8
1917,Dec,FORT FRANCES,12
1917,Dec,FORT WILLIAM,54
1917,Dec,GALT,23
1917,Dec,GANANOQUE,9
1917,Dec,GODERICH,8
1917,Dec,GUELPH,27
1917,Dec,GUELPH TWP,9
1917,Dec,HAILEYBURY,12
1917,Dec,HALDIMAND TWP,6
1917,Dec,HAMILTON,244
1917,Dec,HAWKESBURY,15
1917,Dec,HESPELER,6
1917,Dec,HIBBERT TWP,7
1917,Dec,HORTON TWP,9
1917,Dec,INGERSOLL,12
1917,Dec,KENORA,13
1917,Dec,KINGSTON,62
1917,Dec,KITCHENER,29
1917,Dec,LANCASTER TWP,10
1917,Dec,LEAMINGTON,8
1917,Dec,LINDSAY,20
1917,Dec,LONDON,101
1917,Dec,LONDON TWP,8
1917,Dec,MAIDSTONE TWP,7
1917,Dec,MATILDA TWP,6
1917,Dec,MERSEA TWP,8
1917,Dec,MIDLAND,12
1917,Dec,MIMICO,7
1917,Dec,MOORE TWP,6
1917,Dec,MOUNT DENNIS,7
1917,Dec,NIAGARA FALLS,26
1917,Dec,NORTH BAY,39
1917,Dec,NOT RECORDED,9
